Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,Trend,"20D Avg Vol","52W %/High","20D MA","50D MA","100D MA","Market Cap"
AAC,"Ares Acquisition Corp Cl A",NYSE,9.85,Unclassified,"SIC-6770 Blank Checks","10:41 ET",Buy,198956,-0.45%,9.83,9.79,9.77,1230000000
AAQC,"Accelerate Acquisition Corp Cl A",NYSE,9.78,Unclassified,"SIC-6770 Blank Checks","09:41 ET",Buy,133046,-1.81%,9.77,9.74,9.73,489000000
ACC,"American Campus Communities Inc",NYSE,64.75,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts","11:33 ET",Buy,5022162,-0.40%,60.15,56.47,55.21,9018079000
ACQR,"Independence Holdings Corp Cl A",NASDAQ,9.82,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,69025,-3.44%,9.8,9.77,9.75,532273000
ACT,"Enact Holdings Inc",NASDAQ,23.84,"Insurance - Multi Line","SIC-6411 Insurance Agents, Brokers & Service","11:32 ET",Buy,95538,-5.38%,22.53,21.86,21.55,3808851000
ADER,"26 Capital Acquisition Corp Cl A",NASDAQ,9.88,Unclassified,"SIC-6770 Blank Checks",2022-04-26,Buy,28555,-0.45%,9.87,9.86,9.85,339404000
ADMA,"Adma Biologics",NASDAQ,1.87,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc","11:32 ET",Buy,2393686,-11.11%,2.0005,1.786,1.5955,387922000
ALCO,"Alico Inc",NASDAQ,39.94,"Agriculture Operations","SIC-0100 Agricultural Production - Crops","11:29 ET",Buy,71274,-8.82%,39.4,36.12,35.94,300458000
ALKS,"Alkermes Plc",NASDAQ,29.43,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","11:31 ET",Buy,1598976,-9.76%,28.8,26.65,25.23,4961723000
ALTU,"Altitude Acquisition Corp Cl A",NASDAQ,9.97,Unclassified,"SIC-6770 Blank Checks","11:18 ET",Buy,120232,-1.87%,9.96,9.94,9.91,373875000
AMAL,"Amalgamated Financial Corp",NASDAQ,17.87,"Finance - SBIC & Commercial",,"11:32 ET",Buy,40815,-11.51%,17.74,17.49,17.1,539845000
AMR,"Alpha Metallurgical Resources Inc",NYSE,152.56,"Mining - Misc","SIC-1221 Bituminous Coal & Lignite Mining","11:33 ET",Buy,574423,-8.13%,138.94,123.57,93.6,2858650000
ANAC,"Arctos Northstar Acquisition Corp Cl A",NYSE,9.82,Unclassified,"SIC-6770 Blank Checks","09:39 ET",Buy,71195,-3.73%,9.81,9.77,9.76,388194000
ANZU,"Anzu Special Acquisition Corp I Cl A",NASDAQ,9.83,Unclassified,"SIC-6770 Blank Checks","08:54 ET",Buy,34242,-1.70%,9.8,9.76,9.75,521638000
APGB,"Apollo Strategic Growth Capital II Cl A",NYSE,9.8199,Unclassified,"SIC-6770 Blank Checks","10:25 ET",Buy,141771,-1.11%,9.81,9.78,9.76,845250000
APSG,"Apollo Strategic Growth Capital Cl A",NYSE,9.98,"Transportation - Services","SIC-4700 Transportation Services","11:15 ET",Buy,1129199,-0.40%,9.97,9.93,9.91,1018968000
ARCH,"Arch Resources Inc",NYSE,173.96,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","11:33 ET",Buy,1131454,-1.13%,151.12,142.64,118.92,2648424000
ARIS,"Aris Water Solutions Inc Cl A",NYSE,17.5,"Waste Removal Svcs",,"11:31 ET",Buy,182682,-11.71%,17.92,17.09,14.75,933620000
ARKO,"Arko Corp",NASDAQ,9.18,"Consumer Prdts - Misc Staple","SIC-5412 Retail-Convenience Stores","11:31 ET",Buy,331858,-19.82%,9.29,8.86,8.66,1129682000
ARLP,"Alliance Resource Pt",NASDAQ,18.08,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","11:33 ET",Buy,843143,-3.03%,16.28,15.16,14.01,2309861000
ARMK,"Aramark Holdings Corp",NYSE,37.02,"Food - Misc & Diversified","SIC-5812 Retail-Eating Places","11:33 ET",Buy,1407603,-10.00%,36.94,36.65,36.13,9401301000
ARRW,"Arrowroot Acquisition Corp Cl A",NASDAQ,9.83,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,74345,-0.81%,9.77,9.74,9.73,351755000
ARTA,"Artisan Acquisition Corp Cl A",NASDAQ,9.96,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,88884,-3.21%,9.93,9.92,9.91,437423000
ASR,"Grupo Aeroportuario Del Sureste ADR",NYSE,215.35,"Transportation - Services","SIC-4581 Airports, Flying Fields & Airport Terminal S","11:33 ET",Buy,50132,-8.15%,210.07,208.58,206.16,6415500000
ASZ,"Austerlitz Acquisition Corp II Cl A",NYSE,9.8,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,383776,-1.51%,9.81,9.78,9.76,1932987000
ATCX,"Atlas Technical Consultants Inc",NASDAQ,12.43,"Engineering & R&D Services","SIC-8742 Services-Management Consulting Services","11:26 ET",Buy,77227,-19.94%,12.31,11.92,10.37,470935000
ATRS,"Antares Pharma",NASDAQ,5.57,"Medical - Dental Suppliers","SIC-3841 Surgical & Medical Instruments & Apparatus","11:33 ET",Buy,10685614,-0.45%,4.84,4.21,3.82,947491000
AUS,"Austerlitz Acquisition Corp I Cl A",NYSE,9.82,"Leisure & Recreation Services","SIC-7990 Services-Miscellaneous Amusement & Recreatio","10:44 ET",Buy,200435,-3.35%,9.81,9.78,9.76,967967000
AVAN,"Avanti Acquisition Corp Cl A",NYSE,9.9001,Unclassified,"SIC-6770 Blank Checks","10:39 ET",Buy,146190,-1.20%,9.89,9.87,9.85,743250000
BANF,"Bancfirst Corp",NASDAQ,83.05,"Banks - Southwest","SIC-6021 National Commercial Banks","11:33 ET",Buy,126153,-3.80%,83.59,81.18,76.95,2757166000
BCBP,"Bcb Bancorp Inc",NASDAQ,19.33,"Banks - Northeast","SIC-6035 Savings Institution, Federally Chartered","11:25 ET",Buy,70951,-6.13%,18.52,18.27,17.25,333416000
BCOR,"Blucora Inc",NASDAQ,20.47,"Technology Services","SIC-6199 Finance Services","11:31 ET",Buy,361335,-4.94%,19.91,19.59,18.28,972178000
BJ,"Bj's Wholesale Club Holdings Inc",NYSE,67.15,"Consumer Services - Misc","SIC-5331 Retail-Variety Stores","11:33 ET",Buy,1581595,-10.12%,68.01,65.12,64.41,9079311000
BLUA,"Blueriver Acquisition Corp Cl A",NYSE,9.83,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,40600,-0.10%,9.81,9.78,9.77,320969000
BMY,"Bristol-Myers Squibb Company",NYSE,76.57,"Medical - Biomedical",,"11:33 ET",Buy,13786378,-2.23%,76.02,72.2,67.58,165244032000
BOAC,"Bluescape Opportunities Acquisition Cl A",NYSE,9.89,Unclassified,N/A,2022-04-28,Buy,129719,-1.29%,9.89,9.86,9.83,753305000
BOX,"Box Inc",NYSE,30.55,"Internet - Software","SIC-7372 Services-Prepackaged Software","11:33 ET",Buy,1984420,-7.48%,30.27,28.11,27.07,4331405000
BRX,"Brixmor Property Group Inc",NYSE,25.76,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts","11:32 ET",Buy,1962951,-5.65%,25.79,25.42,25.17,7651613000
BSM,"Black Stone Minerals LP",NYSE,15.64,"E&P MLP","SIC-1311 Crude Petroleum & Natural Gas","11:33 ET",Buy,781340,-2.01%,14.85,13.34,12.21,3287335000
BTWN,"Bridgetown Holdings Ltd Cl A",NASDAQ,9.89,Unclassified,N/A,"11:33 ET",Buy,229611,-10.66%,9.89,9.86,9.84,735559000
CAAP,"Corporacion America Airports Sa",NYSE,6.28,"Transportation - Airline","SIC-4581 Airports, Flying Fields & Airport Terminal S","11:20 ET",Buy,78004,-7.66%,6.37,5.93,5.81,1017727000
CALM,"Cal-Maine Foods IN",NASDAQ,54.06,"Agriculture Products","SIC-0200 Agricultural Production - Livestock","11:33 ET",Buy,952130,-9.89%,55.73,50.15,44.51,2656463000
CASY,"Casey's General Stor",NASDAQ,206.46,"Retail - Convenience Stores","SIC-5500 Retail-Auto Dealers & Gasoline Stations","11:32 ET",Buy,240895,-10.27%,207.02,194.97,192.76,7725768000
CDK,"Cdk Global Inc",NASDAQ,54.4,"IT Services",,"11:33 ET",Buy,3726144,-1.25%,53.07,49.16,45.59,6353050000
CDR,"Cedar Realty Trust Inc",NYSE,28.45,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","11:30 ET",Buy,201487,-0.73%,28.23,27.23,25.35,387836000
CDRE,"Cadre Holdings Inc",NYSE,24.32,"Protection - Safety",N/A,"11:20 ET",Buy,34028,-9.26%,24.31,23.61,22.67,838257000
CEIX,"Consol Energy Inc",NYSE,47.06,Coal,"SIC-1220 Bituminous","11:27 ET",Buy,806797,-6.98%,42.49,36.97,30.38,1672812000
CELU,"Celularity Inc",NASDAQ,12.43,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","11:33 ET",Buy,261328,-11.94%,10.48,8.61,6.69,1671933000
CERN,"Cerner Corp",NASDAQ,93.84,"Medical Information Systems","SIC-7373 Services-Computer Integrated Systems Design","11:33 ET",Buy,2248509,-0.18%,93.45,93.3,91.17,27574198000
CHAA,"Catcha Investment Corp Cl A",NYSE,9.82,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,53695,-1.41%,9.79,9.76,9.75,372237000
CHEF,"The Chefs Warehouse",NASDAQ,36.87,"Food - Misc & Diversified","SIC-5141 Wholesale-Groceries, General Line","11:30 ET",Buy,264056,-4.74%,33.98,32.22,32.05,1420445000
CHNG,"Change Healthcare Inc",NASDAQ,23.52,"Medical Information Systems",,"11:31 ET",Buy,3437365,-1.88%,23.39,22.14,21.32,7374711000
CHT,"Chunghwa Telecom Co. Ltd ADR",NYSE,44.16,"Diversified Comm Services","SIC-4812 Radiotelephone Communications","11:08 ET",Buy,98242,-3.79%,44.42,44.23,43.23,34559440000
CLAS,"Class Acceleration Corp Cl A",NYSE,9.83,Unclassified,"SIC-6770 Blank Checks","10:26 ET",Buy,50431,-0.30%,9.8,9.78,9.75,317942000
CLRM,"Clarim Acquisition Corp Cl A",NASDAQ,9.82,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,37155,-0.41%,9.8,9.78,9.77,352833000
CMTG,"Claros Mortgage Trust Inc",NYSE,18.14,"REIT - Mortgage Trusts",N/A,"11:28 ET",Buy,96237,-6.72%,18.25,17.66,17.39,2523494000
CNR,"Cornerstone Building Brands Inc",NYSE,24.4,"Building - CMT & CNT & AG","SIC-3448 Prefabricated Metal Buildings & Components","11:29 ET",Buy,1794245,-0.22%,24.37,23.72,20.04,3105175000
COHR,"Coherent Inc",NASDAQ,267.61,"Semi-Eqpt Wafer Companies","SIC-3826 Laboratory Analytical Instruments","11:32 ET",Buy,196895,-3.31%,268.86,265.94,263.55,6592096000
COLI,"Colicity Inc Cl A",NASDAQ,9.79,Unclassified,"SIC-6770 Blank Checks","11:04 ET",Buy,37963,-2.92%,9.79,9.77,9.75,422748000
CONX,"Conx Corp Cl A",NASDAQ,9.88,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,279400,-1.30%,9.88,9.85,9.83,926546000
COOL,"Corner Growth Acquisition Corp Cl A",NASDAQ,9.86,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,167190,-0.10%,9.84,9.8,9.79,493000000
CPAR,"Catalyst Partners Acquisition Corp Cl A",NASDAQ,9.8,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,244000,-2.00%,9.77,9.74,9.73,437756000
CPB,"Campbell Soup Company",NYSE,47.46,"Food - Misc & Diversified","SIC-2000 Food and Kindred Products","11:33 ET",Buy,1706338,-6.10%,45.97,44.68,44.28,14192158000
CPUH,"Compute Health Acquisition Corp Cl A",NYSE,9.81,Unclassified,"SIC-6770 Blank Checks","11:09 ET",Buy,231521,-2.00%,9.8,9.78,9.76,1058724000
CRK,"Comstock Resources",NYSE,16.53,"Oil - US Exploration & Product",,"11:33 ET",Buy,3763674,-11.05%,15.63,12,10.11,3887435000
CSL,"Carlisle Companies Inc",NYSE,245.91,"Conglomerates - Div Operations","SIC-3060 Fabricated Rubber Products, NEC","11:33 ET",Buy,346055,-7.70%,245.22,241.01,237.65,12716048000
CTIC,"Cti Biopharm Corp",NASDAQ,5.14,"Medical - Drugs","SIC-2834 Pharmaceutical Preparations","11:32 ET",Buy,3680482,-9.67%,4.78,4.18,3.17,534401000
CTRA,"Coterra Energy Inc",NYSE,28.71,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:33 ET",Buy,8609491,-8.34%,28.52,26.4,23.72,23396744000
CVE,"Cenovus Energy Inc",NYSE,18.44,"Oil - C$ Integrated","SIC-1311 Crude Petroleum & Natural Gas","11:32 ET",Buy,10656616,-0.70%,17.3,16.39,14.99,35985204000
CXW,"Corecivic Inc",NYSE,12.77,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","11:33 ET",Buy,1244298,-10.67%,12.26,10.5,10.3,1548681000
DCPH,"Deciphera Pharmaceuticals Inc",NASDAQ,10.64,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","11:33 ET",Buy,1282172,-10.48%,10.27,9.05,9.02,630019000
DG,"Dollar General Corp",NYSE,245.77,"Retail - Discount",,"11:33 ET",Buy,1861719,-7.37%,242.95,223.1,220.92,55709152000
DHHC,"Diamondhead Holdings Corp Cl A",NASDAQ,9.81,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,48680,-0.41%,9.8,9.77,9.76,423056000
DISA,"Disruptive Acquisition Corp I Cl A",NASDAQ,9.81,Unclassified,N/A,2022-04-27,Buy,38380,-9.00%,9.77,9.75,9.74,337170000
DK,"Delek US Holdings",NYSE,24.5,"Oil - Refining and Marketing","SIC-2911 Petroleum Refining","11:33 ET",Buy,1162511,-6.35%,23.06,20.68,18.63,2107339000
DKL,"Delek Logistics Partners LP",NYSE,49.86,"Oil Gas Prod Pipeline MLP","SIC-4610 Pipe Lines (No Natural Gas)","11:02 ET",Buy,89962,-9.77%,48.89,44.6,43.93,2153988000
DMLP,"Dorchester Minerals",NASDAQ,27.31,"Oil - US Royalty Trusts","SIC-1311 Crude Petroleum & Natural Gas","11:18 ET",Buy,86520,-1.78%,26.11,24.62,22.89,991198000
DNOW,"Now Inc",NYSE,10.8,"Oil Field Machinery & Equip","SIC-3533 Oil & Gas Field Machinery & Equipment","11:33 ET",Buy,663999,-9.06%,10.84,10.49,9.68,1215820000
DOW,"Dow Inc",NYSE,66.85,"Chemical - Diversified","SIC-2821 Plastic Materials, Synth Resins & Nonvulcan","11:33 ET",Buy,4973804,-7.63%,65.13,62.63,60.21,49110476000
DRAY,"Macondray Capital Acquisition Corp I",NASDAQ,9.975,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,79091,-2.01%,9.91,9.87,9.85,319627000
DRH,"Diamondrock Hospitality Company",NYSE,10.62,"REIT - Equity Trust Other",,"11:33 ET",Buy,2166522,-4.82%,10,9.86,9.64,2262795000
DUK,"Duke Energy Corp",NYSE,114,"Utility - Electric Power","SIC-4931 Electric & Other Services Combined","11:33 ET",Buy,2499439,-2.36%,114.07,108.23,105.66,87067872000
EAC,"Edify Acquisition Corp Cl A",NASDAQ,9.82,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,60420,-1.31%,9.8,9.77,9.76,338790000
EBR.B,"Centrais Eletricas Brasileiras ADR",NYSE,8.27,"Utility - Electric Power","SIC-4911 Electric Services","11:32 ET",Buy,84631,-14.80%,8.55,7.53,6.75,13100575000
ECOL,"US Ecology Inc",NASDAQ,47.99,"Waste Removal Svcs","SIC-4953 Refuse Systems","11:32 ET",Buy,989021,-0.25%,47.94,47.63,40.07,1502970000
EEFT,"Euronet Worldwide",NASDAQ,131.41,"Finance - Misc Services","SIC-6099 Functions Related To Depository Banking, NEC","11:32 ET",Buy,361625,-16.58%,131.79,126.75,126.08,6589041000
ENPC,"Executive Network Partnering Corp Cl A",NYSE,9.9,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,72265,-3.23%,9.88,9.86,9.84,415938000
EPR,"Entertainment Properties Trust",NYSE,53.7,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts","11:33 ET",Buy,447617,-4.88%,53.91,52.21,49.11,4059518000
EPWR,"Empowerment & Inclusion Capital I Corp Cl A",NYSE,9.82,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,54590,-1.31%,9.81,9.79,9.77,338790000
EQD,"Equity Distribution Acquisition Corp Cl A",NYSE,9.92,Unclassified,"SIC-6770 Blank Checks","10:48 ET",Buy,66227,-0.90%,9.9,9.88,9.85,512843000
ET,"Energy Transfer LP",NYSE,11.27,"Oil Gas Prod Pipeline MLP","SIC-4922 Natural Gas Transmission","11:33 ET",Buy,19682998,-8.07%,11.36,10.67,9.88,35790152000
ETAC,"E.Merge Technology Acquisition Corp Cl A",NASDAQ,9.935,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,76057,-0.10%,9.92,9.9,9.88,607716000
ETR,"Entergy Corp",NYSE,121.69,"Utility - Electric Power","SIC-4911 Electric Services","11:32 ET",Buy,1106818,-4.48%,122.42,114.46,111.94,24254388000
EURN,"Euronav NV",NYSE,11.89,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","11:33 ET",Buy,2886383,-10.99%,12,11.27,10.12,2359656000
EVA,"Enviva Partners LP",NYSE,83.2,"Building Products - Wood","SIC-2400 Lumber & Wood Products (No Furniture)","11:32 ET",Buy,297550,-8.94%,83.96,78.17,74.79,5687466000
FCAX,"Fortress Capital Acquisition Corp Cl A",NYSE,9.85,Unclassified,"SIC-6770 Blank Checks","10:06 ET",Buy,63601,-1.79%,9.85,9.81,9.79,492500000
FDUS,"Fidus Investment Cor",NASDAQ,20.42,"Finance - SBIC & Commercial","SIC-6282 Investment Advice","11:32 ET",Buy,81733,-3.59%,20.12,19.68,18.74,501509000
FINM,"Marlin Technology Corp Cl A",NASDAQ,9.85,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,148510,-0.40%,9.84,9.8,9.78,509220000
FMAO,"Farmers & Merch Banc",NASDAQ,36.5,"Banks - Northeast","SIC-6035 Savings Institution, Federally Chartered","11:08 ET",Buy,37674,-13.54%,36.42,35.24,33.46,473250000
FOE,"Ferro Corp",NYSE,22.01,"Chemical - Specialty",N/A,2022-04-21,Buy,864025,-0.41%,21.75,21.74,21.71,1821151000
FPI,"Farmland Partners Inc",NYSE,14.71,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","11:27 ET",Buy,709250,-10.41%,14.54,13.46,12.54,683442000
FSNB,"Fusion Acquisition Corp II Cl A",NYSE,9.8,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,165425,-0.20%,9.79,9.76,9.74,612500000
FTEV,"Fintech Evolution Acquisition Group Cl A",NYSE,9.81,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,69505,-4.66%,9.81,9.77,9.75,336120000
FVIV,"Fortress Value Acquisition Corp IV Cl A",NYSE,9.82,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,149088,-4.01%,9.79,9.76,9.75,796250000
GDDY,"Godaddy Inc",NYSE,85.86,"Internet Services - Delivery",,"11:33 ET",Buy,1417396,-5.54%,84.98,82.81,79.46,14266541000
GFX,"Golden Falcon Acquisition Corp Cl A",NYSE,9.84,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,102180,-0.51%,9.83,9.8,9.79,424350000
GGMC,"Glenfarne Merger Corp Cl A",NASDAQ,9.8,Unclassified,"SIC-6770 Blank Checks",2022-04-25,Buy,62590,-2.00%,9.75,9.73,9.72,342245000
GIS,"General Mills",NYSE,71.65,"Food - Misc & Diversified","SIC-2040 Grain Mill Products","11:33 ET",Buy,3439746,-3.06%,70.68,67.67,67.61,42973844000
GL,"Globe Life Inc",NYSE,99.99,"Finance - Misc Services","SIC-6311 Life Insurance","11:32 ET",Buy,543608,-7.85%,101.9,100.8,99.71,9988435000
GOAC,"Go Acquisition Corp Cl A",NYSE,9.93,Unclassified,"SIC-6770 Blank Checks","10:31 ET",Buy,80246,-0.80%,9.93,9.91,9.88,570975000
GPK,"Graphic Packaging Holding Company",NYSE,21.3,"Containers - Paper Products","SIC-2650 Paperboard Containers & Boxes","11:33 ET",Buy,2680538,-4.47%,20.99,20.29,19.78,6477005000
GPOR,"Gulfport Energy Corp",NYSE,94.03,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:32 ET",Buy,190263,-0.60%,90.25,80.92,75.46,2008958000
GSAQ,"Global Synergy Acquisition Corp",NASDAQ,9.96,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,59915,-0.10%,9.95,9.91,9.88,322007000
GXII,"Gx Acquisition Corp II Cl A",NASDAQ,9.77,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,31625,-2.88%,9.77,9.74,9.72,366375000
H,"Hyatt Hotels Corp",NYSE,96.02,"Hotels & Motels","SIC-7011 Hotels & Motels","11:33 ET",Buy,905332,-11.07%,94.25,94.16,92.86,10641339000
HAAC,"Health Assurance Acquisition Corp Cl A",NASDAQ,9.86,Unclassified,"SIC-6770 Blank Checks","11:17 ET",Buy,333623,-4.83%,9.86,9.83,9.81,545998000
HCIC,"Hennessy Capital Investment Corp V Cl A",NASDAQ,9.83,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,60155,-5.84%,9.82,9.8,9.79,423870000
HCKT,"Hackett Grp Inc",NASDAQ,23.94,Consulting,"SIC-8742 Services-Management Consulting Services","11:31 ET",Buy,147409,-3.39%,23.73,22.13,21.04,750697000
HERA,"Ftac Hera Acquisition Corp Cl A",NASDAQ,9.82,Unclassified,"SIC-6770 Blank Checks","10:52 ET",Buy,164607,-2.00%,9.8,9.77,9.76,1068760000
HHC,"Howard Hughes Corp",NYSE,100.24,"Real Estate Developers","SIC-6798 Real Estate Investment Trusts","11:16 ET",Buy,254260,-11.76%,100.96,98.11,97.22,5247600000
HHLA,"HH&L Acquisition Co. Cl A",NYSE,9.84,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,75540,-1.11%,9.81,9.78,9.75,509220000
HIGA,"H.I.G. Acquisition Corp Cl A",NYSE,9.89,Unclassified,N/A,"11:31 ET",Buy,148425,-0.55%,9.88,9.85,9.83,450381000
HII,"Huntington Ingalls Industries",NYSE,219.35,"Aerospace - Defense",,"11:30 ET",Buy,387174,-4.48%,213.29,205.89,196.82,8808731000
HIII,"Hudson Executive Investment Corp III Cl A",NASDAQ,9.8,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,130040,-2.68%,9.79,9.77,9.75,735000000
HLMN,"Hillman Solutions Corp",NASDAQ,11.38,"Building & Construction - Misc","SIC-3420 Cutlery, Handtools & General Hardware","11:32 ET",Buy,1471879,-16.12%,11.53,10.77,10.23,2260554000
HLT,"Hilton Inc",NYSE,157.91,"Hotels & Motels","SIC-7011 Hotels & Motels","11:33 ET",Buy,1908445,-6.14%,152.82,149.17,148.47,43854604000
HPK,"Highpeak Energy Inc",NASDAQ,29.88,"Oil - US Exploration & Product","SIC-1381 Drilling Oil & Gas Wells","11:32 ET",Buy,963885,-19.37%,27.7,23.86,20.31,3031528000
HPX,"Hpx Corp Cl A",NYSE,9.95,Unclassified,"SIC-6770 Blank Checks",2022-04-27,Buy,91550,-0.30%,9.94,9.91,9.89,314669000
HST,"Host Marriott Financial Trust",NASDAQ,20.45,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","11:33 ET",Buy,8152030,-3.83%,19.56,18.9,18.08,15039999000
HURN,"Huron Consulting",NASDAQ,52.22,Consulting,,"11:17 ET",Buy,116529,-11.93%,51.5,48.35,47.67,1124570000
HWM,"Howmet Aerospace Inc",NYSE,34.14,"Engineering & R&D Services","SIC-3350 Rolling Drawing & Extruding of Nonferrous Me","11:33 ET",Buy,2117329,-9.57%,35.12,35.06,33.65,14366231000
HYAC,"Haymaker Acquisition Corp III Cl A",NASDAQ,9.92,"Medical Products","SIC-2833 Medicinal Chemicals & Botanical Products",2022-04-27,Buy,34800,-1.78%,9.89,9.86,9.84,393626000
HZON,"Horizon Acquisition Corp II Cl A",NYSE,9.9,Unclassified,N/A,"10:54 ET",Buy,103941,-3.13%,9.91,9.87,9.85,650344000
INSW,"International Seaways Inc",NYSE,22.42,"Transportation - Ship","SIC-4400 Water Transportation","11:33 ET",Buy,1077113,-2.22%,20.27,18.52,16.8,1106024000
IRT,"Independence Realty Trust Inc",NYSE,27.35,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts","11:33 ET",Buy,3295692,-3.94%,27.16,26.25,25.03,6040016000
IVT,"Inventrust Pptys Corp",NYSE,31.04,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","11:32 ET",Buy,401793,-4.02%,30.55,28.78,27.79,2058706000
JCIC,"Jack Creek Investment Corp Cl A",NASDAQ,9.84,Unclassified,"SIC-6770 Blank Checks",2022-04-28,Buy,106773,-0.10%,9.82,9.79,9.77,424301000
JNJ,"Johnson & Johnson",NYSE,182.97,"Large Cap Pharma",,"11:33 ET",Buy,7948614,-2.14%,181.05,174.65,171.93,478789728000
K,"Kellogg Company",NYSE,69.13,"Food - Misc & Diversified","SIC-2040 Grain Mill Products","11:32 ET",Buy,1870535,-1.65%,67.68,64.93,64.66,23474168000
KAHC,"KKR Acquisition Holdings I Corp Cl A",NYSE,9.8,Unclassified,"SIC-6770 Blank Checks","11:04 ET",Buy,270201,-2.29%,9.8,9.77,9.76,1689638000
